"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","55-59","Female","
0.00372
","0.00372","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","45-49","Both sexes","
0.00242
","0.00242","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","20-24","Male","
0.00063
","6.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","50-54","Female","
0.00203
","0.00203","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","40-44","Both sexes","
0.00122
","0.00122","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","60-64","Male","
0.00961
","0.00961","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","35-39","Both sexes","
0.00088
","8.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","30-34","Male","
0.00086
","8.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","15-19","Male","
0.00045
","4.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","65-69","Both sexes","
0.01049
","0.01049","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","50-54","Both sexes","
0.00375
","0.00375","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","30-34","Both sexes","
0.00065
","6.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","85-89","Female","
0.08532
","0.08532","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","35-39","Male","
0.00115
","0.00115","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","50-54","Male","
0.00506
","0.00506","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","<1","Male","
0.00360
","0.0036","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","10-14","Female","
0.00008
","8.0E-5","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","1-4","Female","
0.00041
","4.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","<1","Female","
0.00231
","0.00231","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","15-19","Female","
0.00021
","2.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","10-14","Both sexes","
0.00015
","1.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","30-34","Male","
0.00084
","8.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","90-94","Both sexes","
0.21348
","0.21348","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","5-9","Both sexes","
0.00014
","1.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","100+","Female","
0.51738
","0.51738","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","85-89","Male","
0.15820
","0.1582","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","85-89","Both sexes","
0.08784
","0.08784","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","80-84","Male","
0.07019
","0.07019","","",""
